Address,Byte Values,,,"Body Control Module BCM 726-XX-XX (JU5T-AA*, BA*, CA*, DA*, EA*, FA, GA*, GG*, HA*)",,Notes
,,,,"1=RL Normal, PLE Normal, PLB Normal, SLC Inhibit","9=RL Inhibit, PLE Normal, PLB Normal, SLC Inhibit",
,,,,"2=RL Normal, PLE Normal, PLB Inhibit, SLC Normal","A=RL Inhibit, PLE Normal, PLB Inhibit, SLC Normal",
,,,,"3=RL Normal, PLE Normal, PLB Inhibit, SLC Normal","B=RL Inhibit, PLE Normal, PLB Inhibit, SLC Inhibit",
,,,,"4=RL Normal, PLE Inhibit, PLB Normal, SLC Normal","C=RL Inhibit, PLE Inhibit, PLB Normal, SLC Normal",
,,,,"5=RL Normal, PLE Inhibit, PLB Normal, SLC Inhibit","D=RL Inhibit, PLE Inhibit, PLB Normal, SLC Inhibit",
,,,,"6=RL Normal, PLE Inhibit, PLB Inhibit, SLC Normal","E=RL Inhibit, PLE Inhibit, PLB Inhibit, SLC Normal",
,,,,"7=RL Normal, PLE Inhibit, PLB Inhibit, SLC Inhibit","F=RL Inhibit, PLE Inhibit, PLB Inhibit, SLC Inhibit",
726-24-02,x*xx,xxxx,xxxx,Puddle Lamp Cirtuit DTC,"0=Normal, 1=Inhibited",
,,,,Common Input Processes,,
726-25-01,x*xx,xxxx,xxxx,Deck Lid Key Switch Cfg,"0=Disabled, 1=Enabled",
726-25-01,xxx*,xxxx,xxxx,DF Door Key Cfg,"0=Disabled, 1=Enabled",
726-25-01,xxxx,x*xx,xxxx,Liftgate Trunk Cfg,"0=None, 1=Liftgate, 2=Trunk",
726-25-01,xxxx,xxx*,xxxx,Number of Side Doors,"0=Four, 1=Two",
726-25-01,xxxx,xxxx,x*xx,Double Lock Cfg,"0=Double, 1=Single",
726-25-02,x*xx,xxxx,xxxx,Transit Vehicle Rear Cfg,"0=Liftgate, 1=RHCD (Rear Hinged Cargo Door)",
726-25-02,xxx*,xxxx,xxxx,Headlamp Style Cfg,"0=BI_FUNC Halogen, 1=BI_FUNC HID, 2=Dual, 3=Quad",
726-25-02,xxxx,x*xx,xxxx,Parking with License Lamps Cfg,"0=Disabled, 1=Enabled",
,,,,Exterior Lighting,,
726-26-01,x*xx,xxxx,xxxx,Ambient Light Sensor Present Cfg,"0=Not Present, 1=Present",
726-26-01,xxx*,xxxx,xxxx,Ambient Light Sensor Type Cfg,"0=Slow_FNA (Autolamp Only), 1=Fast_ROW (Autolamp Sunload)
Slow_FNA=15 seconds delay turning on headlamps when dark.
Fast_ROW=2 seconds delay turning on headlamps when dark.",
726-26-01,xxxx,x*xx,xxxx,Cornering Present Cfg,"0=Disabled, 1=Enabled",
726-26-01,xxxx,xxx*,xxxx,Ctrl Stop Position Cfg,"0=Duty_Duty, 1=Duty_VRMS, 2=VRMS_Duty, 3=VRMS_VRMS",
726-26-01,xxxx,xxxx,x*xx,DRL Conditions Cfg,"0=Option A, 1=Option B
Option A=headlamp switch must be in Auto position for DRLs.
Option B=headlamp switch can be in any position for DRLs.",
726-26-02,x*xx,xxxx,xxxx,DRL Include Park Lamps,"0=Disabled, 1=Enabled",
726-26-02,xxx*,xxxx,xxxx,DRL Switchback w/Turn Signal,"0=Disabled, 1=Enabled",
726-26-02,xxxx,x*xx,xxxx,Emergency Brake Light Enable Cfg,"0=Disabled, 1=Enabled",
726-26-02,xxxx,xxx*,xxxx,Frequency Select Cfg,"0=Type 0 (LED), 1=Type 1 (Halogen), 2=Type 2, 3=Type 3 ",
726-26-02,xxxx,xxxx,x*xx,Headlamps Outage Cfg,"0=None, 1=Both, 2=High, 3=Low",
,,,,Exterior Lighting,,
726-27-01,x*xx,xxxx,xxxx,Front Bulb Turn Outage Cfg,"0=No Outage, 1=Outage",
726-27-01,xxx*,xxxx,xxxx,Front LED Turn Outage Cfg,"0=No Outage, 1=Outage",
726-27-01,xxxx,x*xx,xxxx,Front Fog Auto Cancel Cfg,"0=No Cancel, 1=Cancel",
726-27-01,xxxx,xxx*,xxxx,Front Fog with High Beams Cfg,"0=Allow, 1=inhibit",
726-27-01,xxxx,xxxx,*xxx,High Beam Mode Cfg,"0=Auto Cancel, 1=Persistent",
726-27-02,x*xx,xxxx,xxxx,ABM Outage Cfg,"0=No Outage, 1=Outage",
726-27-02,xxx*,xxxx,xxxx,Low Beam Outage Cfg,"0=No Outage, 1=Outage",
726-27-02,xxxx,x*xx,xxxx,Trailer Outage Cfg,"0=No Outage, 1=Outage",
726-27-02,xxxx,xxx*,xxxx,Rain Light Sensor Present Cfg,"0=Not Present, 1=Present",
726-27-02,xxxx,xxxx,x*xx,Rear Bulb Turn Outage Cfg,"0=No Outage, 1=Outage",
,,,,Exterior Lighting,,
726-28-01,x*xx,xxxx,xxxx,Rear LED Turn Outage Cfg,"0=No Outage, 1=Outage",
726-28-01,xxx*,xxxx,xxxx,Rear LED Turn Outage Circuit Used Cfg,"0=Stop_Position Lamp, 1=Turn_Lamp",
726-28-01,xxxx,x*xx,xxxx,Rear Fog Enable Cfg,"0=Disabled, 1=Enabled",
726-28-01,xxxx,xxx*,xxxx,Rear Fog with Trailer Cfg,"0=Allow, 1=inhibit",
726-28-01,xxxx,xxxx,x*xx,Stop Position Lamp Cfg,"0=Position_Only, 1=Stop_Only, 2=Stop_Position, 3=Stop_Position_Turn, 4=Stop_Turn",
726-28-02,x*xx,xxxx,xxxx,Lincoln Experience Cfg,"0=Null, 1=Lincoln Experience",
726-28-02,xxx*,xxxx,xxxx,Rear LED Turn Outage Liftgate Cfg,"0=Null, 1=No Outage",
726-28-02,xxxx,x*xx,xxxx,Front Fog Circuit with Turn Cfg,"0=Allow, 1=Inhibit",
726-28-02,xxxx,xxx*,xxxx,Park Lamps Engine Cfg,"0=Position_Only, 1=Stop_Only",
726-28-02,xxxx,xxxx,x*xx,Rear Turn Lamp Cfg,"0=Stop_Turn, 1=Turn_Only",
,,,,Exterior Lighting,,
726-29-01,**xx,xxxx,xxxx,Vrms Reduce Fog Lamp Cfg,(volts),
726-29-01,xxx*,xxxx,xxxx,Vrms Reduce Fog Lamp Enable Cfg,"0=Disabled, 1=Enabled",
726-29-01,xxxx,**xx,xxxx,Vrms Reduce Low Beam Cfg,(volts),
726-29-01,xxxx,xxx*,xxxx,Vrms Reduce Low Beam Enable Cfg,"0=Disabled, 1=Enabled",
726-29-01,xxxx,xxxx,x*xx,Vrms Target Sel Cfg,"0=Type 0, 1=Type 1, 2=Type 2, 3=Type 3",
726-29-02,x*xx,xxxx,xxxx,DRL Position Lamp Cfg,"0=DRL_Only, 1=DRL_Position, 2=Fixed DRL Position, 3=Stop Turn",
726-29-02,xxx*,xxxx,xxxx,Front Turn Position Lamps Cfg,"0=Turn_Only, 1=Turn_Position",
726-29-02,xxxx,x*xx,xxxx,Park Lamps Body Cfg,"0=Position_Only, 1=Stop_Only",
726-29-02,xxxx,xxx*,xxxx,Hazard Switch Type,"0=Latching, 1=Momentary",
726-29-02,xxxx,xxxx,x*xx,Turn Signal Switch Cfg,"0=Latching, 1=Momentary",
,,,,Global Windows,,
726-30-01 ,x*xx,xxxx,xxxx,Global Close Cfg,"0=Disable, 1=Both Key and Remote, 2=Key, 3=Remote",
726-30-01 ,xxx*,xxxx,xxxx,Global Open Cfg,"0=Disable, 1=Both Key and Remote, 2=Key, 3=Remote",
,,,,Interior Lighting,,
726-31-01,x*xx,xxxx,xxxx,Door Ajar Color Cfg,"Ambient Lighting Door Ajar Color: Sets the color of the open door ambient lighting with the door open.
Ford: 0=Ice Blue, 1=Orange, 2=Soft Blue, 3=Red, 4=Green, 5=Blue, 6=Purple
Lincoln: 7=White, 8=Amber, 9=Teal, A=Red, B=Blue, C=Green, D=Lilac
Non-Standard: E=Yellow, F=Ice Blue",
726-31-01,xxx*,xxxx,xxxx,Ambient Lighting Cfg,"0=Ambient Only, 1=Disabled, 2=Welcome/Farewell and Ambient, 3=Welcome/Farewell Only",
726-31-01,xxxx,x*xx,xxxx,Courtesy Lamps Cfg,"0=Immediate, 1=Theater Dimming",
726-31-01,xxxx,xxx*,xxxx,Dim Day Level Cfg,"C=Day1, D=Day2, E=Day3, F=Day4, 10=Day5, 11=Day6, 12=From SW",
726-31-01,xxxx,x*xx,x*xx,Dim Night Level Cfg,"0=Night1, 1=Night2, 2=Night3, 3=Night4, 4=Night5, 5=Night6, 6=Night7, 7=Night8, 8=Night9, 9=Night10, A=Night11, B=Night12, C=From SW",
726-31-02,x*xx,xxxx,xxxx,Dim User Day Level Cfg,"D=Day1, E=Day2, F=Day3, 10=Day4, 11=Day5, 12=Day6, C=Night12",
726-31-02,xxx*,xxxx,xxxx,Door Lock Indication Cfg,"0=Null, 1=Common, 2=Individual",
726-31-02,xxxx,x*xx,xxxx,Entry Color Cfg,"Ambient Lighting Entry Color: Sets the color when you enter/exit vehicle - independent of color selected on APIM screen.
Note: Using E or F for entry color will set ambient lighting to Ice Blue and render APIM color selection irrelevent.
Ford: 0=Ice Blue, 1=Orange, 2=Soft Blue, 3=Red, 4=Green, 5=Blue, 6=Purple
Lincoln: 7=White, 8=Amber, 9=Teal, A=Red, B=Blue, C=Green, D=Lilac
Non-Standard: E=Yellow, F=Ice Blue",
726-31-02,xxxx,xxx*,xxxx,Entry Intial Cfg,,
726-31-02,xxxx,xxxx,**xx,NLI DayTime Cfg,(percent),
,,,,Interior Lighting,,
726-32-01,**xx,xxxx,xxxx,NLI NightTime Cfg,(percent),
726-32-01,xxx*,xxxx,xxxx,NLI Inferred Switch Cfg,"0=Inferred, 1=Switched",
726-32-01,xxxx,x*xx,xxxx,Police Dark Car,"0=Null, 1=Dark",
726-32-01,xxxx,xxx*,xxxx,Switch Type Cfg,"0=None, 1=1 Button, 2=2 Button, 3=3 Button",
726-32-01,xxxx,xxxx,**xx,Approach Light Show Max Time,(seconds converted to hex),
726-32-02,****,xxxx,xxxx,Courtesy Lamp Ramp Down Duration,(seconds converted to hex),
726-32-02,xxxx,****,xxxx,Courtesy Lamp Ramp Up Duration,(seconds converted to hex),
726-32-02,xxxx,xxxx,**xx,Puddle Ramp Max PWM Cfg,(percent),
,,,,LIN Network,,
726-33-01,x*xx,xxxx,xxxx,"Courtesy Wipe Enable Cfg: 0=disable, 1=enable","0=Disabled, 1=Enabled",
726-33-01,xxx*,xxxx,xxxx,"Courtesy Wipe Time Cfg: 0=1 second, 1=2 seconds, 2=3 sec, 3=4 sec",,
726-33-01,xxxx,x*xx,xxxx,"Initial Auto Wipe on Reset Cfg: 0=disable, 1=enable","0=Disabled, 1=Enabled",
726-33-01,xxxx,xxx*,xxxx,"Initial Off to Auto Wipe Cfg: 0=disable, 1=enable","0=Disabled, 1=Enabled",
726-33-02,xxxx,xxxx,xxxx,Not Defined,,
,,,,LIN Network,,
726-34-01,x*xx,xxxx,xxxx,LINsel CSM Cfg,,
726-34-01,xx**,xxxx,xxxx,LINsel RVC Cfg,,
726-34-01,xxxx,x*xx,xxxx,Rain Sensing Windshield Wipers,"0=Disabled, 1=Enabled",
726-34-01,xxxx,xxx*,xxxx,Rain Sensor ID Cfg,,
726-34-01,xxxx,xxxx,x*xx,Rear Wipe Liftgate Ajar Enable Cfg,"0=Disabled, 1=Enabled",
726-34-02,x*xx,xxxx,xxxx,Rear Wipe Pos1 Cfg,"0=10 Seconds, 1=8 Seconds",
726-34-02,xxx*,xxxx,xxxx,Rear Wipe Pos2 Cfg,"0=5 Seconds, 1=Continuous",
726-34-02,xxxx,x*xx,xxxx,Rear Wipe Reverse Wipe Cfg,"0=Disabled, 1=Enabled",
726-34-02,xxxx,xxx*,xxxx,Rear Wipe Time Cfg: (msec),"0=1500, 1=1750, 2=2000, 3=2250, 4=2500, 5=2750, 6=3000, 7=3250, 8=3500, 9=3750, A=4000, B=4250, C=4500, D=4750, E=5000, F=5250",
726-34-02,xxxx,xxxx,x*xx,Speed Dependent Wipers,"0=Disabled, 1=Enabled",
,,,,LIN Network,,
726-35-01,x*xx,xxxx,xxxx,Wash Before Wipe Time Cfg,"0=100ms, 1=250ms, 2=400ms, 3=550ms",
726-35-01,xxx*,xxxx,xxxx,Windshield Type Cfg,,
726-35-01,xxxx,x*xx,xxxx,CSM WinStat Cfg,"0=Disabled, 1=Enabled",
726-35-01,xxxx,xxx*,xxxx,LINsel EXEEL Cfg,,
726-35-01,xxxx,xxxx,x*xx,LINsel FEEL Cfg,,
726-35-02,**xx,xxxx,xxxx,Static Seq Time Cfg (msec),(msec),
726-35-02,xxx*,xxxx,xxxx,Static Seq Cfg,"0=Disabled, 1=Enabled",
,,,,Locking,,
726-36-01,x*xx,xxxx,xxxx,Child Lock Cfg,"0=Disabled, 1=Enabled",
726-36-01,xxx*,xxxx,xxxx,Child Lock DCU Enable Cfg,,
726-36-01,xxxx,x*xx,xxxx,Console Lock Cfg,"0=Disabled, 1=Enabled",
726-36-01,xxxx,xxx*,xxxx,Crash Unlock Inhibit Cfg,(sec),
726-36-01,xxxx,xxxx,x*xx,DCU Rollcode Invalid Time Cfg,(msec),
726-36-02,xxx*,xxxx,xxxx,FOB Cargo Button Cfg,"0=Cargo, 1=Rear Door, 2=Side Doors",
726-36-02,xxxx,x*xx,xxxx,FOB LG Glass First Press Cfg,"0=Disabled, 1=Enabled",
726-36-02,xxxx,xxx*,xxxx,Glove Box Release Cfg,"0=Disabled, 1=Enabled",
726-36-02,xxxx,xxxx,x*xx,Hands Free LGDL Enable Cfg,"0=Disabled, 1=Enabled",
,,,,Locking,,
726-37-01,x*xx,xxxx,xxxx,Keypad Enable Cfg,"0=Disabled, 1=Enabled",
726-37-01,xxx*,xxxx,xxxx,LGG DL Enable Cfg,"0=Disable, 1=Decklid, 2=Liftglass",
726-37-01,xxxx,xxx*,xxxx,Panic Activate Cfg,"0=Disabed, 1=Double Press, 2=Pulse",
726-37-01,xxxx,xxxx,x*xx,PK Enable/Disable Cfg,"0=Disabled, 1=Enabled",
726-37-02,x*xx,xxxx,xxxx,Police Rear Door Cfg,"0=Normal, 1=Police",
726-37-02,xxx*,xxxx,xxxx,Power Lock Enable Cfg,"0=Disabled, 1=Enabled",
726-37-02,xxxx,x*xx,xxxx,Remote07 Cfg,"0=No Action, 1=Glass, 2=Manual, 3=PDL, 4=Power, 5=Trunk",
726-37-02,xxxx,xxx*,xxxx,Remote08 Cfg,"2=No Action, 3=RPSD Double",
726-37-02,xxxx,xxxx,x*xx,Remote08 Cfg,"2=No Action, 3=LPSD Double",
,,,,Locking,,
726-38-01,x*xx,xxxx,xxxx,RKE Enable Cfg,"0=Disabled, 1=Enabled",
726-38-01,xxx*,xxxx,xxxx,Smart Unlock Cfg,"0=Disabled, 1=Enabled",
726-38-01,xxxx,x*xx,xxxx,Tailgate Operation Type Cfg,"0=Release, 1=Unlock",
726-38-01,xxxx,xxx*,xxxx,Valet Mode Cfg,"0=Disabled, 1=Enabled",
726-38-01,xxxx,xxxx,**xx,Valet Rollcode Invalid Time Cfg,(msec),
726-38-02,**xx,xxxx,xxxx,,,
726-38-02,xxx*,xxxx,xxxx,Lock Feedback Horn Cfg,"0=Disabled, 1=Enabled",
726-38-02,xxxx,x*xx,xxxx,Trim Lock Unlock Sequence Cfg,"0=One Stage, 1=Two Stage",
726-38-02,xxxx,xxx*,xxxx,Auto Relock Time Duration,"0=Null, 1=30 seconds, 2=45 seconds",
726-38-02,xxxx,xxxx,x*xx,Number Valid SLD LockSmplThrshld Cfg,(counts),
,,,,Power and Energy,,
726-39-01,****,xxxx,xxxx,Power Point MaxTime Cfg,(seconds converted to hex),"Power Point Timeout must be Enabled.
1194=Default, 1 Hour, 15 Minutes
001E=30 Seconds
003C=1 Minute
012C=5 Minutes
0258=10 Minutes
0384=15 Minutes
0708=30 Minutes
0E10=1 Hour
1C30=2 Hours
2A50=3 Hours
54B0=6 Hours
A960=12 Hours
FE10=18 Hours
FFFF=Max, 18 Hours, 8 Minutes, 15 Seconds"
726-39-01,xxxx,x*xx,xxxx,Power Point Timeout Cfg,"0=Disabled, 1=Enabled",
726-39-01,xxxx,xxx*,xxxx,Slave Exists AmbLM Cfg,"0=Absent, 1=Present",
726-39-01,xxxx,xxxx,x*xx,Slave Exists BBS Cfg,"0=Absent, 1=Present",
726-39-02,x*xx,xxxx,xxxx,Slave Exists CSM Cfg,"0=Absent, 1=Present",
726-39-02,xxx*,xxxx,xxxx,Slave Exists ICM Cfg,"0=Absent, 1=Present",
726-39-02,xxxx,x*xx,xxxx,Slave Exists RVC Cfg,"0=Absent, 1=Present",
726-39-02,xxxx,xxx*,xxxx,TwoWay RKE Enable Cfg,"0=Disabled, 1=Enabled",
,,,,TPMS,,
726-40-01,x*xx,xxxx,xxxx,TPMS Federal Regulation Cfg,"0=Europe, 1=North America",
726-40-01,xxx*,xxxx,xxxx,TPMS Number of Tires Cfg,"4=4 tires, 6=6 tires",
726-40-01,xxxx,**xx,xxxx,TPMS Placard Front Tire Pressure,(psi in hex),
726-40-01,xxxx,xx**,xxxx,TPMS Placard Rear Tire Pressure,(psi in hex),
726-40-01,xxxx,xxxx,x*xx,TPMS Reassignment Enable Cfg,"0=Disabled, 1=Enabled",
726-40-02,x*xx,xxxx,xxxx,TPMS Sensor AutoRange Cfg,"0=Off, 1=On",
726-40-02,xxx*,xxxx,xxxx,TPMS Sensor LoHi Cfg,"0=High, 1=Low",
726-40-02,xxxx,x*xx,xxxx,TPMS Sensor Type Cfg,"0=MY06, 1=MY09, 2=MY15",
726-40-02,xxxx,xxx*,xxxx,TPMS Auto Learn Enable Cfg,"0=Off, 1=On",
726-40-02,xxxx,xxxx,x*xx,TPMS Auto Locate Cfg,"0=Disabled, 1=Enabled",
,,,,Vehicle Starting Control,,
726-41-01,x*xx,xxxx,xxxx,Expected RKE Frequency Cfg,,
726-41-01,xxx*,xxxx,xxxx,Expected RKE ManID Cfg,,
726-41-01,xxxx,x*xx,xxxx,Fuel Prime on Door Ajar Cfg,"0=No Prime, 1=Prime",
726-41-01,xxxx,xxx*,xxxx,HEV Reset Fix Cfg,"0=Force Off, 1=Ignore",
726-41-01,xxxx,xxxx,x*xx,Immobilizer Transceiver Type Cfg,"0=Null, 1=ABIC2, 2=ATIC164",
726-41-02,x*xx,xxxx,xxxx,Integrated Key Cfg,"0=Disabled, 1=Enabled",
726-41-02,xxx*,xxxx,xxxx,LostPK Exterior Notification Enable Cfg (Double Horn Honk),"0=Disabled, 1=Enabled",
726-41-02,xxxx,x*xx,xxxx,PCM Wake on Door Ajar Cfg,"0=No Wake, 1=Wake",
726-41-02,xxxx,xxx*,xxxx,Remote Start Lighting (Parking Lights) Enable Cfg,"0=Disabled, 1=Enabled",
726-41-02,xxxx,xxxx,x*xx,Remote Start SBW Ignition Enable Cfg,"0=Disabled, 1=Enabled",
,,,,Vehicle Starting Control,,
726-42-01,x*xx,xxxx,xxxx,Secure Idle Enable Cfg,"0=Disabled, 1=Enabled",
726-42-01,xxx*,xxxx,xxxx,Target2 Active Cfg,"0=Inactive, 1=Active",
726-42-01,xxxx,x*xx,xxxx,Key Charging Cfg,"0=Disabled, 1=Enabled",
726-42-01,xxxx,xxx*,xxxx,Oil Level Wakeup Cfg,"0=Disabled, 1=Enabled",
726-42-01,xxxx,xxxx,x*xx,Engine Location Cfg,"0=Front, 1=Rear",
726-42-02,xxxx,xxxx,xxxx,Not Defined,,
,,,,Warning and Chimes,,
726-43-01,x*xx,xxxx,xxxx,Park Brake Chime Cfg,"0=PRNDL, 1=Speed",
726-43-01,xxx*,xxxx,xxxx,Park Brake Type Cfg,"0=Electric, 1=Mechanical",
726-43-01,xxxx,x*xx,xxxx,Cornering Time Cfg,(sec),
726-43-02,xxxx,xxxx,xxxx,Not Defined,,
,,,,Diagnostics,,
726-44-01,x*xx,xxxx,xxxx,ABS Avail Cfg,"0=Absent, 1=Present",
726-44-01,xxx*,xxxx,xxxx,ACM Avail Cfg,"0=Absent, 1=Present",
726-44-01,xxxx,x*xx,xxxx,AHCM Avail Cfg,"0=Absent, 1=Present",
726-44-01,xxxx,xxx*,xxxx,ALM Conditioned Power Circuit Cfg,"0=Not Used, 1=Used",
726-44-01,xxxx,xxxx,x*xx,APIM Avail Cfg,"0=Disabled, 1=Enabled",
726-44-02,x*xx,xxxx,xxxx,Backlight Dim Open DTC Cfg,"0=Not Used, 1=Used",
726-44-02,xxx*,xxxx,xxxx,Backlighting LED Circuit Cfg,"0=Not Used, 1=Used",
726-44-02,xxxx,x*xx,xxxx,BSI Open DTC Cfg,"0=Not Used, 1=Used",
726-44-02,xxxx,xxx*,xxxx,DDM Avail Cfg,"0=Absent, 1=Present",
726-44-02,xxxx,xxxx,x*xx,Diag CEI Mode Cfg,"0=Unknown, 1=No Read Keys, 2=Read Keys",
,,,,Diagnostics,,
726-45-01,**xx,xxxx,xxxx,Diag Reset Delay Cfg,(msec),
726-45-01,xxx*,xxxx,xxxx,Discrete VSPD Circuit Cfg,"0=Not Used, 1=Used",
726-45-01,xxxx,**xx,xxxx,DRL Lamp Mask Cfg,,
726-45-01,xxxx,xxx*,xxxx,DRL Relay Circuit Cfg,"0=Not Used, 1=Used",
726-45-01,xxxx,xxxx,x*xx,DSM Avail Cfg,"0=Absent, 1=Present",
726-45-02,x*xx,xxxx,xxxx,ECU Drive Circuit Open DTC Cfg,"0=Unused, 1=Used",
726-45-02,xxx*,xxxx,xxxx,FCIM Avail Cfg,"0=Absent, 1=Present",
726-45-02,xxxx,x*xx,xxxx,Fog Lamp Circuit Cfg,"0=Unused, 1=Used",
726-45-02,xxxx,xxx*,xxxx,BCMB Avail Cfg,"0=Absent, 1=Present",
726-45-02,xxxx,xxxx,x*xx,Park Lamps Engine Circuit Cfg,"0=Unused, 1=Used",
,,,,Diagnostics,,
726-46-01,x*xx,xxxx,xxxx,HID Shutter Circuit Cfg,"0=Unused, 1=Used",
726-46-01,xxx*,xxxx,xxxx,High Beam Open DTC Cfg,"0=Unused, 1=Used",
726-46-01,xxxx,x*xx,xxxx,High Beam Circuit Cfg,"0=Unused, 1=Used",
726-46-01,xxxx,xxx*,xxxx,IP Release Switch Circuit Cfg,"0=Unused, 1=Used",
726-46-01,xxxx,xxxx,x*xx,Lift Glass Switch Circuit Cfg,"0=Unused, 1=Used",
726-46-02,x*xx,xxxx,xxxx,Low Beam Open DTC Cfg,"0=Unused, 1=Used",
726-46-02,xxx*,xxxx,xxxx,LPDM Avail Cfg,"0=Absent, 1=Present",
726-46-02,xxxx,x*xx,xxxx,NLI LED Circuit Cfg,"0=Not Used, 1=Used",
726-46-02,xxxx,xxx*,xxxx,Park Aid Feature Present Cfg,"0=Not Present, 1=Present",
,,,,Diagnostics,,
726-47-01,x*xx,xxxx,xxxx,Park Lamps Open DTC Cfg,"0=Not Used, 1=Used",
726-47-01,xxx*,xxxx,xxxx,PDM Avail Cfg,"0=Absent, 1=Present",
726-47-01,xxxx,x*xx,xxxx,Position Lamp Circuit Cfg,"0=Not Used, 1=Used",
726-47-01,xxxx,xx*x,xxxx,Position Lamp Open DTC Cfg,"0=Not Used, 1=Used",
726-47-01,xxxx,xxxx,x*xx,Power Point Circuit Cfg,"0=Not Used, 1=Used",
726-47-02,x*xx,xxxx,xxxx,PSCM Avail Cfg,"0=Absent, 1=Present",
726-47-02,xxx*,xxxx,xxxx,Puddle Lamp Circuit Cfg,"0=Not Used, 1=Used",
726-47-02,xxxx,x*xx,xxxx,Pulse Train Circuit Cfg,"0=Not Used, 1=Used",
726-47-02,xxxx,xxx*,xxxx,Rear Turn Lamp Circuit Cfg,"0=Not Used, 1=Used",
726-47-02,xxxx,xxxx,x*xx,Reverse Lamp2 Circuit Cfg,"0=Not Used, 1=Used",
,,,,Diagnostics,,
