Address,Byte Values,,,"Body Control Module BCM 726-XX-XX (JU5T-AA*, BA*, CA*, DA*, EA*, FA, GA*, GG*, HA*)",,Notes
726-48-01,x*xx,xxxx,xxxx,Reverse Lamp Open DTC Cfg,"0=Not Used, 1=Used",
726-48-01,xxx*,xxxx,xxxx,RGTM Avail Cfg,"0=Absent, 1=Present",
726-48-01,xxxx,x*xx,xxxx,RPDM Avail Cfg,"0=Absent, 1=Present",
726-48-01,xxxx,xxx*,xxxx,RTM Avail Cfg,"0=Absent, 1=Present",
726-48-01,xxxx,xxxx,x*xx,SCCM Avail Cfg,"0=Absent, 1=Present",
726-48-02,x*xx,xxxx,xxxx,Slave Exists BMS Cfg,"0=Absent, 1=Present",
726-48-02,xxx*,xxxx,xxxx,Slave Exists RSM Cfg,"0=Absent, 1=Present",
726-48-02,xxxx,x*xx,xxxx,Slave Exists SFWM Cfg,"0=Absent, 1=Present",
726-48-02,xxxx,xxxx,x*xx,Stop Position Lamp Circuit Cfg,"0=Not Used, 1=Used",
,,,,Diagnostics,,
726-49-01,x*xx,xxxx,xxxx,TBM Avail Cfg,"0=Absent, 1=Present",
726-49-01,xxx*,xxxx,xxxx,TCM Avail Cfg,"0=Absent, 1=Present",
726-49-01,xxxx,x*xx,xxxx,Trailer Tow Cfg: ,"0=No Relays, 1=Relays",
726-49-01,xxxx,xxx*,xxxx,TRM Avail Cfg,"0=Absent, 1=Present",
726-49-01,xxxx,xxxx,x*xx,White Light Circuit Cfg,"0=Not Used, 1=Used",
726-49-02,x*xx,xxxx,xxxx,White Light Open DTC Cfg,"0=Not Used, 1=Used",
726-49-02,xx**,xxxx,xxxx,Expected ALM Nodes Count Cfg1,(count),
726-49-02,xxxx,**xx,xxxx,Expected ALM Nodes Count Cfg2,(count),
726-49-02,xxxx,xx**,xxxx,Expected ALM Nodes Count Cfg3,(count),
726-49-02,xxxx,xxxx,x*xx,Park Lamps Body Circuit Cfg,"0=Not Used, 1=Used",
,,,,Exterior Lighting - DRL Lamp Cfg,,
726-50-01,xxxx,,,DRL Lamp Cfg,"01=DRL Disabled
02=DRL Low Beams
04=DRL Front Fog Lamps
08=DRL Front Turn Lamps
10=Dedicated DRL Lights
20=DRL High Beams
40=DRL Low Beams and Dedicated DRL",Dedicated DRL Lights (LED Light Bars/Strips) - Enables BCM DRL Outputs - C2280F (F-150) Pins 36 (Right) and 40 (Left)
,,,,RF Accessory1,,
726-51-01,xxxx,xxxx,xxxx,RF Accessory1 (1-3),,
726-51-02,xxxx,xxxx,xxxx,,,
726-51-03,xxxx,xxxx,xxxx,,,
726-51-04,xxxx,xxxx,xxxx,,,
726-51-05,xxxx,xxxx,xx,,,
,,,,RF Accessory2,,
726-52-01,xxxx,xxxx,xxxx,RF Accessory2 (1-3),,
726-52-02,xxxx,xxxx,xxxx,,,
726-52-03,xxxx,xxxx,xxxx,,,
726-52-04,xxxx,xxxx,xxxx,,,
726-52-05,xxxx,xxxx,xx,,,
,,,,RF Accessory3,,
726-53-01,xxxx,xxxx,xxxx,RF Accessory3 (1-3),,
726-53-02,xxxx,xxxx,xxxx,,,
726-53-03,xxxx,xxxx,xxxx,,,
726-53-04,xxxx,xxxx,xxxx,,,
726-53-05,xxxx,xxxx,xx,,,
,,,,RF Accessory4,,
726-54-01,xxxx,xxxx,xxxx,RF Accessory4 (1-3),,
726-54-02,xxxx,xxxx,xxxx,,,
726-54-03,xxxx,xxxx,xxxx,,,
726-54-04,xxxx,xxxx,xxxx,,,
726-54-05,xxxx,xxxx,xx,,,
,,,,Body Features,,
726-55-01,x*xx,xxxx,xxxx,Feature Cfg Approach Detection 1,"0=Disabled, 1=Enabled",
726-55-01,xxx*,xxxx,xxxx,Feature Cfg Approach Detection 2,"0=Disabled, 1=Enabled",
726-55-01,xxxx,x*xx,xxxx,Feature Cfg Approach Detection 3,"0=Disabled, 1=Enabled",
726-55-01,xxxx,xxx*,xxxx,Feature Cfg Approach Detection 4,"0=Disabled, 1=Enabled",
726-55-01,xxxx,xxxx,x*xx,Feature Cfg Approach Detection 5,"0=Disabled, 1=Enabled",
726-55-02,x*xx,xxxx,xxxx,Feature Cfg Welcome Mat 1,"0=Disabled, 1=Enabled",
726-55-02,xxx*,xxxx,xxxx,Feature Cfg Welcome Mat 2,"0=Disabled, 1=Enabled",
726-55-02,xxxx,x*xx,xxxx,Feature Cfg Welcome Mat 3,"0=Disabled, 1=Enabled",
726-55-02,xxxx,xxx*,xxxx,Feature Cfg Welcome Mat 4,"0=Disabled, 1=Enabled",
726-55-02,xxxx,xxxx,x*xx,Feature Cfg Welcome Mat 5,"0=Disabled, 1=Enabled",
,,,,Body Features,,
726-56-01,x*xx,xxxx,xxxx,FeatLst to BCM ApproachDetection InitVal,"0=Disabled, 1=Enabled",
726-56-01,xxx*,xxxx,xxxx,FeatLst to BCM Welcome Mat InitVal,"0=Disabled, 1=Enabled",
726-56-01,xxxx,x*xx,xxxx,Spotlight Cfg,"0=Disabled, 1=Enabled",
726-56-01,xxxx,xxx*,xxxx,Ext Courtesty Lamp Cfg,"0=Null, 1=ECE Regulation",
726-56-01,xxxx,xxxx,x*xx,Feat Cfg Lock Feedback 1,"0=Disabled, 1=Enabled",
726-56-02,x*xx,xxxx,xxxx,Feat Cfg Lock Feedback 2,"0=Disabled, 1=Enabled",
726-56-02,xxx*,xxxx,xxxx,Feat Cfg Lock Feedback 3,"0=Disabled, 1=Enabled",
726-56-02,xxxx,x*xx,xxxx,Feat Cfg Lock Feedback 4,"0=Disabled, 1=Enabled",
726-56-02,xxxx,xxx*,xxxx,Feat Cfg Lock Feedback 5,"0=Disabled, 1=Enabled",
,,,,Interior Lighting,,
726-57-01,x*xx,xxxx,xxxx,Dome Puddle Selection Cfg,"0=Disable Both, 1=Enable Both, 2=Enable Dome Only, 3=Enable Puddle Only",
726-57-01,xxx*,xxxx,xxxx,Headlamp Switch Backlight Cfg,"0=Null, 1=Unique",
726-57-01,xxxx,x*xx,xxxx,NLI Lamp Present Cfg,"0=Not Present, 1=Present",
726-57-01,xxxx,xxx*,xxxx,Bed Lamp Cfg,"0=Disabled, 1=Enabled",
726-57-01,xxxx,xxxx,x*xx,EEL Module Cfg,"0=Not Present, 1=Present",
726-57-02,****,xxxx,xxxx,Engine PBRamp Down Duration Cfg,(msec),
726-57-02,xxxx,****,xxxx,Engine PBRamp Up Duration Cfg,(msec),
726-57-02,xxxx,xxxx,x*xx,Engine Start/Stop Illumination Cfg,"0=Immedite On, 1=Pulsing",
,,,,Body Features,,
726-58-01,x*xx,xxxx,xxxx,Feat Cfg Piezo Sounder Feedback 1,"0=Disabled, 1=Enabled",
726-58-01,xxx*,xxxx,xxxx,Feat Cfg Piezo Sounder Feedback 2,"0=Disabled, 1=Enabled",
726-58-01,xxxx,x*xx,xxxx,Feat Cfg Piezo Sounder Feedback 3,"0=Disabled, 1=Enabled",
726-58-01,xxxx,xxx*,xxxx,Feat Cfg Piezo Sounder Feedback 4,"0=Disabled, 1=Enabled",
726-58-01,xxxx,xxxx,x*xx,Feat Cfg Piezo Sounder Feedback 5,"0=Disabled, 1=Enabled",
726-58-02,x*xx,xxxx,xxxx,Feat Cfg Silent Mode 1,"0=Disabled, 1=Enabled",
726-58-02,xxx*,xxxx,xxxx,Feat Cfg Silent Mode 2,"0=Disabled, 1=Enabled",
726-58-02,xxxx,x*xx,xxxx,Feat Cfg Silent Mode 3,"0=Disabled, 1=Enabled",
726-58-02,xxxx,xxx*,xxxx,Feat Cfg Silent Mode 4,"0=Disabled, 1=Enabled",
726-58-02,xxxx,xxxx,x*xx,Feat Cfg Silent Mode 5,"0=Disabled, 1=Enabled",
,,,,Body Features,,
726-59-01,x*xx,xxxx,xxxx,Snow Plow Mode Cfg,"0=Disabled, 1=Enabled",
726-59-01,xxx*,xxxx,xxxx,FeatLst to BCM Lock Feedback Light InitVal,"0=Disabled, 1=Enabled",
726-59-01,xxxx,x*xx,xxxx,FeatLst to BCM Piezo Sounder Feedback InitVal,"0=Disabled, 1=Enabled",
726-59-01,xxxx,xxx*,xxxx,FeatLst to BCM Silent Mode InitVal,"0=Disabled, 1=Enabled",
726-59-01,xxxx,xxxx,x*xx,TracKey Cfg,"0=Disabled, 1=Enabled",
726-59-02,x*xx,xxxx,xxxx,Memory Type Cfg,"0=Advanced Classic Memory, 1=Classic Memory, 2=Enhanced Memory",
726-59-02,xxx*,xxxx,xxxx,Engine Run BTSI Allow Cfg,"0=Disabled, 1=Enabled",
726-59-02,xxxx,****,xxxx,Lost PK Retry Cfg,(msec),
726-59-02,xxxx,xxxx,**xx,New FOB Warning Message Clear,(sec),
,,,,Diagnostics,,
726-60-01,x*xx,xxxx,xxxx,Courtesy Lighting Cfg,"0=Incandescent, 1=LED",
726-60-01,xxx*,xxxx,xxxx,Fuel Pump Relay Connection Cfg,"0=Not Connected, 1=Connected",
726-60-01,xxxx,x*xx,xxxx,PU Column Shifter Key Out Inhibit Circuit Cfg,"0=Not Used, 1=Used",
726-60-01,xxxx,xxx*,xxxx,RunStart Relay Ext Circuit Cfg,"0=Not Used, 1=Used",
726-60-01,xxxx,xxxx,x*xx,Manual LG Release Type Cfg,"0=Manual Cinch, 1=Manual Only",
726-60-02,x*xx,xxxx,xxxx,Demand Lamp Ckt Cfg,"0=Not Used, 1=Used",
,,,,Exterior Lighting,,
726-61-01,x*xx,xxxx,xxxx,EL Ckt Power Usage Cfg,"0=Null, 1=Fog_High_Beam, 2=Fog_Low_Beam, 3=Fog_Only, 4=High Beam Only, 5=Low Beam Only",
726-61-01,xxx*,xxxx,xxxx,LF RF Position Lamp Ckt Usage Cfg,"0=Front, 1=Rear",
726-61-01,xxxx,xx**,xxxx,Signature Ramp Down Duration Cfg,(msec),
726-61-02,**xx,xxxx,xxxx,Signature Ramp Up Duration Cfg,(msec),
726-61-02,xxx*,xxxx,xxxx,LF DRL Lamp Ckt Cfg,"0=Not Used, 1=Used",
726-61-02,xxxx,x*xx,xxxx,RF DRL Lamp Ckt Cfg,"0=Not Used, 1=Used",
726-61-02,xxxx,xxx*,xxxx,Front Fog Lamp Cfg,"0=Front_Fog, 1=Turn",
726-61-02,xxxx,xxxx,x*xx,TT LR Stop Turn Lamps Cfg,"0=Front_Fog, 1=Stop_Turn",
,,,,Interior Lighting,,
726-62-01,**xx,xxxx,xxxx,FadeActive Timeout Cfg,(sec),
726-62-01,xx**,xxxx,xxxx,LDM Init Cfg,(msec),
726-62-01,xxxx,xx**,xxxx,Puddle Ramp Down Duration Cfg,(msec),
726-62-02,**xx,xxxx,xxxx,Puddle Ramp Up Duration Cfg,(msec),
726-62-02,xx**,xxxx,xxxx,Puddle Lamp Max Intensity Cfg,(percent),
726-62-02,xxxx,**xx,xxxx,Ambient Delay Cfg,(msec),
726-62-02,xxxx,xxx*,xxxx,Cargo Ramp Cfg,"0=Immediate, 1=Theater Dimming",
726-62-02,xxxx,xxxx,x*xx,Puddle Lamp Override Cfg,"0=Default, 1=Override",
,,,,Sleep/Wake Processing,,
726-63-01,x*xx,xxxx,xxxx,Slave Exists EXEEL Cfg,"0=Absent, 1=Present",
726-63-01,xxx*,xxxx,xxxx,Slave Exists FEEL Cfg,"0=Absent, 1=Present",
726-63-01,xxxx,x*xx,xxxx,Police Idle Factory Cfg,"0=Disabled, 1=Enabled",
726-63-01,xxxx,xxx*,xxxx,Slave Exists TBA EEL Cfg,"0=Not Present, 1=Present",
726-63-01,xxxx,xxxx,x*xx,Not Defined,,
726-63-02,xxxx,xxxx,xxxx,Not Defined,,
,,,,BMS,,
726-64-01,x*xx,xxxx,xxxx,DBR Customer Selection Cfg,(NA),
726-64-01,xxx*,xxxx,xxxx,DBR Selection Cfg,(NA),
726-64-01,xxxx,x*xx,xxxx,DBR In Car Cfg,"0=False, 1=True",
726-64-01,xxxx,xxx*,xxxx,ECO PIN Cfg: ,"0=ECO_AllowFullSRC, 1=ECO_Speed_LIM_NoDisch, 2=ECO_Speed_LIM_ConvChg, 3=ECO_ForceConvChg",
726-64-01,xxxx,xxxx,x*xx,EngRunRly Enable Cfg,"0=Disabled, 1=Enabled",
726-64-02,x*xx,xxxx,xxxx,HW PIN Cfg,"0=AllowFullSRC_AllowSS, 1=SRCNoDischarge_AllowSS, 2=ForceConvChg_AllowSS, 3=AllowFullSRC_SSOff, 4=SRCNoDischarge_SSOff, 5=ForceConvChg_SSOff",
726-64-02,xxx*,xxxx,xxxx,Battery WCC Duration Crank Enable Cfg,"0=False, 1=True",
,,,,CAN 01,,
726-65-01,x*xx,xxxx,xxxx,BCM Child Lock Mode Cfg,"0=Disabled, 1=Enabled",
726-65-01,xxx*,xxxx,xxxx,Multimedia Signal Selection Cfg,"0=HMI Mode, 1=Multimedia",
726-65-01,xxxx,x*xx,xxxx,PASE Cfg,"0=Disabled, 1=Enabled, 2=Inop",
726-65-01,xxxx,xxx*,**xx,Not Defined,,
726-65-02,xxxx,xxxx,xxxx,Not Defined,,
,,,,Common Input Processes,,
726-66-01,x*xx,xxxx,xxxx,Door Ajar Switch Cfg 1,"0=Normal Closed, 1=Normal Open",
726-66-01,xxx*,xxxx,xxxx,Door Ajar Switch Cfg 2,"0=Normal Closed, 1=Normal Open",
726-66-01,xxxx,x*xx,xxxx,Door Ajar Switch Cfg 3,"0=Normal Closed, 1=Normal Open",
726-66-01,xxxx,xxx*,xxxx,Door Ajar Switch Cfg 4,"0=Normal Closed, 1=Normal Open",
726-66-01,xxxx,xxxx,x*xx,Door Ajar Switch Cfg 5,"0=Normal Closed, 1=Normal Open",
726-66-02,x*xx,xxxx,xxxx,Door Ajar Switch Cfg 6,"0=Normal Closed, 1=Normal Open",
,,,,Common Input Processes,,
726-67-01,x*xx,xxxx,xxxx,Vehicle Doors Present Cfg 1,"0=Not Present, 1=Present",
726-67-01,xxx*,xxxx,xxxx,Vehicle Doors Present Cfg 2,"0=Not Present, 1=Present",
726-67-01,xxxx,x*xx,xxxx,Vehicle Doors Present Cfg 3,"0=Not Present, 1=Present",
726-67-01,xxxx,xxx*,xxxx,Vehicle Doors Present Cfg 4,"0=Not Present, 1=Present",
726-67-01,xxxx,xxxx,x*xx,Vehicle Doors Present Cfg 5,"0=Not Present, 1=Present",
726-67-02,x*xx,xxxx,xxxx,Vehicle Doors Present Cfg 6,"0=Not Present, 1=Present",
,,,,Locking,,
726-68-01,x*xx,xxxx,xxxx,Passive Smart Unlock Cfg,"0=Disabled, 1=Enabled",
726-68-01,xxx*,xxxx,xxxx,Power Lock on Door Ajar Cfg,"0=Not Present, 1=Present",
726-68-01,xxxx,x*xx,xxxx,SLP Transit Cfg,"0=Disable, 1=Cabin_All, 2=Cabin_Cargo, 3=Cabin_Front",
726-68-01,xxxx,xxx*,xxxx,Smart Unlock Type Cfg,"0=Disable, 1=Slam_Lock_Protect, 2=Smart_Unlock",
726-68-01,xxxx,xxxx,x*xx,SUL Transit Cfg,"0=Disable, 1=Cabin_All, 2=Cabin_Rear",
726-68-02,x*xx,xxxx,xxxx,Transit Unlock Type Cfg,"0=Disable, 1=Type 1, 2=Type 2, 3=Type 3, 4=Type 4, 5=Type 5, 6=Type 6, 7=Type 7",
726-68-02,xxx*,xxxx,xxxx,Rear Seat Recline Inhibit Cfg,"0=Disable, 1=Enable, 2=Not Used",
726-68-02,xxxx,x*xx,xxxx,PELS Interior Request Cfg,"0=Disabled, 1=Enabled",
726-68-02,xxxx,xxx*,**xx,PELS IntLockUnlock Timeout Cfg,(msec),
,,,,Interior Lighting,,
726-69-01,x*xx,xxxx,xxxx,ALM Power Mode Cfg,"0=BCM to Active, 1=Headlamp Controlled",
726-69-01,xxx*,xxxx,xxxx,Trailer Hitch Lamp Type Cfg,"0=IPMB, 1=PSCM",
726-69-01,xxxx,**xx,xxxx,Backlighting Op Hold Time Cfg,(msec),
726-69-01,xxxx,xxx*,xxxx,EM Exist Cfg,"0=Not Present, 1=Present",
726-69-01,xxxx,xxxx,x*xx,Dim OFF RUN Cfg,"0=Off, 1=Night1, 2=Night2, 3=Night3, 4=Night4, 5=Night5, 6=Night6, 7=Night7, 8=Night8, 9=Night9, A=Night10, B=Night11, C=Night12",
726-69-02,x*xx,xxxx,xxxx,Dim ON DAY Cfg,"0=Off, 1=Night1, 2=Night2, 3=Night3, 4=Night4, 5=Night5, 6=Night6, 7=Night7, 8=Night8, 9=Night9, A=Night10, B=Night11, C=Night12",
726-69-02,xxx*,xxxx,xxxx,PTS Pulse Mode Cfg,"0=Null, 1=Active",
726-69-02,xxxx,****,**xx,Not Defined,,
,,,,Exterior Lighting,,
726-70-01,x*xx,xxxx,xxxx,Front Fog Enable Cfg,"0=Disabled, 1=Enabled",
726-70-01,xxx*,xxxx,xxxx,LF LED Turn Outage Ckt Usage Cfg,"0=LF_Turn_FDBK, 1=Dome_Lamp_FDBK",
726-70-01,xxxx,x*xx,xxxx,LF Position Lamp Source Cfg,"0=LF_Position_Ckt, 1=LR_Stop_Pos_Ckt, 2=None",
726-70-01,xxxx,xxx*,xxxx,LF Position Lamp Ckt Usage Cfg,"0=LF_Pos_Lamp, 1=LR_Pos_Lamp",
726-70-01,xxxx,xxxx,x*xx,LR Stop Pos Ckt Usage Cfg,"0=LR_Stop_Pos_Lamp, 1=LF_Pos_Lamp",
726-70-02,x*xx,xxxx,xxxx,Park Lamps Engine Ckt Usage Cfg,"0=Park_Lamp_Engine, 1=License_Plate Lamps",
726-70-02,xxx*,xxxx,xxxx,RF Position Lamp Source Cfg,"0=RF_Position_Ckt, 1=RR_Stop_Pos_Ckt, 2=None",
726-70-02,xxxx,x*xx,xxxx,RF Position Lamp Ckt Usage Cfg,"0=RF_Pos_Lamp, 1=RR Pos Lamp",
726-70-02,xxxx,xxx*,xxxx,RR Stop Position Ckt Usage Cfg,"0=RR_Stop_Pos_Lamp, 1=Rf_Pos_Lamp",
726-70-02,xxxx,xxxx,x*xx,AHBC Availble Cfg,"0=Not Available, 1=Available",
,,,,Exterior Lighting,,
726-71-01,x*xx,xxxx,xxxx,AHBC Ramping Permission Cfg,"0=Not Allowed, 1=Allowed, 2=Unknown",
726-71-01,xx**,xxxx,xxxx,DRL Ckt Fixed Bright DutyCycle Cfg,(percent),
726-71-01,xxxx,**xx,xxxx,DRL Ckt Fixed Dim DutyCycle Cfg,(percent),
726-71-01,xxxx,xxxx,x*xx,DRL with Fog Cfg,"0=Allow, 1=Inhibit",
,,,,Locking,,
726-72-01,**xx,xxxx,xxxx,Delay Phone Charge Cfg,(msec),
726-72-01,xxx*,xxxx,xxxx,Passive ReUnlock Allowed Cfg,"0=Not Allowed, 1=Allowed",
726-72-01,xxxx,x*xx,xxxx,Wireless Charging Module Cfg,"0=Not Present, 1=Present",
726-72-01,xxxx,xxx*,xxxx,Perimeter Alarm Chime Cfg,"0=Disabled, 1=Enable_Driver, 2=Enable_Passenger",
726-72-02,x*xx,xxxx,xxxx,Enhanced Trim Switch Inhibit Cfg,"0=Disabled, 1=Enabled",
726-72-02,xxx*,xxxx,xxxx,Reset Switch Unlock Enable Cfg,"0=Disabled, 1=Enabled",
,,,,Common Input Processes,,
726-73-01,x*xx,xxxx,xxxx,Front Left Cap Sensor Cfg,"0=Disabled, 1=Enabled",
726-73-01,xxx*,xxxx,xxxx,Front Rightt Cap Sensor Cfg,"0=Disabled, 1=Enabled",
726-73-01,xxxx,x*xx,xxxx,Rear Left Cap Sensor Cfg,"0=Disabled, 1=Enabled",
726-73-01,xxxx,xxx*,xxxx,Rear Right Cap Sensor Cfg,"0=Disabled, 1=Enabled",
726-73-02,x*xx,xxxx,xxxx,Vehicle Type Cfg,"0=Not PHEV, 1=PHEV",
,,,,Body Features,,
726-74-01,x*xx,xxxx,xxxx,FeatLst to BCM Feature Initial Value,"0=Disabled, 1=Enabled",
726-74-01,xxx*,xxxx,xxxx,Feat Cfg [Passive Entry Enable] [Person1],"0=Disabled, 1=Enabled",
726-74-01,xxxx,x*xx,xxxx,Feat Cfg [Passive Entry Enable] [Person2],"0=Disabled, 1=Enabled",
726-74-01,xxxx,xxx*,xxxx,Feat Cfg [Passive Entry Enable] [Person3],"0=Disabled, 1=Enabled",
726-74-01,xxxx,xxxx,x*xx,Feat Cfg [Passive Entry Enable] [Person4],"0=Disabled, 1=Enabled",
726-74-02,x*xx,xxxx,xxxx,Feat Cfg [Passive Entry Enable] [Vehicle],"0=Disabled, 1=Enabled",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
