720-01-01,2F0F,1064,7651,Auto Engine Off & Auto High Beam option in productivity screen present,observed through testing,,,,,,,,,,,,,,,,,,,
720-01-01,1xxx,xxxx,xxxx,Auto Engine Off option absent,,,,,,,,,,,,,,,,,,,,
720-01-01,xxx0,xxxx,xxxx,Auto High Beam option absent,,,,,,,,,,,,,,,,,,,,
720-01-01,xCxx,xxxx,xxxx,Cruise Control absent,observed through testing on 6-14-16,,,,,,,,,,,,,,,,,,,
720-01-01,xCxx,xxxx,6xxx,Cross Traffic Alert absent,,,,,,,,,,,,,,,,,,,,
720-01-01,xCxx,xxxx,3xxx,Navigation/Compass absent,,,,,,,,,,,,,,,,,,,,
720-01-01,xCxx,xxxx,8xxx,"Navigation/Compass absent, Cross Traffic Alert absent",,,,,,,,,,,,,,,,,,,,
720-01-02,xx0x,xxxx,,Disables Door Ajar warning chime (while truck is in Park),observed through testing on 7-8-16,,,,,,,,,,,,,,,,,,,
720-01-02,x0xx,xxxx,,Driver Alert absent,observed through testing on 6-15-16,,,,,,,,,,,,,,,,,,,
720-01-02,xxxx,3xxx,,Collision Warning absent,,,,,,,,,,,,,,,,,,,,
720-01-02,2xxx,xxxx,,DTE Calculation option present in productivity screen,observed through testing,,,,,,,,,,,,,,,,,,,
720-01-02,1xxx,xxxx,,DTE Calculation option absent in productivity screen,,,,,,,,,,,,,,,,,,,,
720-02-01,xxEx,xxxx,xxxx,"Daytime Lights option present in Settings, Adv Settings, Vehicle, Lighting",,,,,,,,,,,,,,,,,,,,
720-02-01,xxAx,xxxx,xxxx,"Daytime Lights option absent in Settings, Adv Settings, Vehicle, Lighting",,,,,,,,,,,,,,,,,,,,
720-02-01,xxCx,xxxx,xxxx,Lane Keeping System absent in Settings,observed through testing on 6-15-16,,,,,,,,,,,,,,,,,,,
720-02-01,xCxx,xxxx,xxxx,Fuel Economy menu absent,,,,,,,,,,,,,,,,,,,,
720-02-01,xBxx,xxxx,xxxx,Fuel History menu absent,,,,,,,,,,,,,,,,,,,,
720-02-01,xAxx,xxxx,xxxx,Fuel Economy & Fuel History menu absent,,,,,,,,,,,,,,,,,,,,
720-02-01,xxxx,xBxx,xxxx,MyKey Status menu absent under Truck Info and under Adv Settings,,,,,,,,,,,,,,,,,,,,
720-02-02,xxxx,Fxxx,,Climate Control enabled,,,,,,,,,,,,,,,,,,,,
720-02-02,xxxx,7xxx,,Climate Control disabled,,,,,,,,,,,,,,,,,,,,
720-02-02,xxxx,Bxxx,,Driver Seat disabled,,,,,,,,,,,,,,,,,,,,
720-02-02,xxxx,Exxx,,Passenger Seat disabled,,,,,,,,,,,,,,,,,,,,
720-02-02,xxxx,x5xx,,Rear Defrost disabled,,,,,,,,,,,,,,,,,,,,
720-02-02,xxxx,Dxxx,,Remote Start disabled,,,,,,,,,,,,,,,,,,,,
720-02-02,xxxx,x9xx,,Steering Wheel Control disabled,,,,,,,,,,,,,,,,,,,,
720-03-01,xxx5,54xx,xxxx,36 Gallon Tank,observed through testing on 7-14-16,,,,,,,,,,,,,,,,,,,
720-03-01,xxx3,67xx,xxxx,23 Gallon Tank,,,,,,,,,,,,,,,,,,,,
720-03-01,xxxA,BCxx,xxxx,"ABC hex value convert to decimal, divide by 10 and this is tank size in Liters",,,,,,,,,,,,,,,,,,,,
720-03-02,C849,013E,,,,,,,,,,,,,,,,,,,,,,
720-03-02,x7xx,xxxx,,Tire pressure menu absent from Truck Info,observed through testing on 6-17-16,,,,,,,,,,,,,,,,,,,
720-04-01,xx4x,xxxx,xxxx,Trailer Brake Controller Gain Setting enabled,,,,,,,,,,,,,,,,,,,,
720-04-01,xx0x,xxxx,xxxx,Trailer Brake Controller Gain Setting disabled,,,,,,,,,,,,,,,,,,,,
720-04-02,5553,00D5,,,,,,,,,,,,,,,,,,,,,,
720-05-01,0010,0000,003D,,,,,,,,,,,,,,,,,,,,,
720-05-02,0000,113F,,,,,,,,,,,,,,,,,,,,,,
720-06-01,0000,0000,002E,,,,,,,,,,,,,,,,,,,,,
720-06-02,0000,002F,,,,,,,,,,,,,,,,,,,,,,
720-07-01,xxxx,xExx,xxxx,Trailer Brake Control Module enabled,,,,,,,,,,,,,,,,,,,,
720-07-01,xxxx,x6xx,xxxx,Trailer Brake Control Module disabled,,,,,,,,,,,,,,,,,,,,
720-07-01,xxx0,xxxx,xxxx,Digital Speedometer absent from Truck Info,observed through testing on 6-17-16,,,,,,,,,,,,,,,,,,,
720-07-01,xxxx,x0xx,xxxx,Gauge Selection absent from Truck Info,,,,,,,,,,,,,,,,,,,,
720-07-01,xxxx,7xxx,xxxx,Power Distribution absent from Off Road,,,,,,,,,,,,,,,,,,,,
720-07-01,xxxx,xx5x,xxxx,Engine temp & Transmission temp shows above gauges,observed through testing on 7-17-16,,,,,,,,,,,,,,,,,,,
720-07-01,xxxx,xx6x,xxxx,Engine temp only shows above gauge,,,,,,,,,,,,,,,,,,,,
720-07-01,xxxx,xx9x,xxxx,Trans temp only shows above gauge,,,,,,,,,,,,,,,,,,,,
720-07-01,xxxx,xx5x,Fxxx,"""LOBO"" appears on productivity screen at boot up",,,,,,,,,,,,,,,,,,,,
720-07-01,xxxx,xx5x,Bxxx,IPC quick boot (no logos/dimming prompt appear on productivity screen at boot up),observed through testing on 7-17-16,* not submitted to developers yet,,,,,,,,,,,,,,,,,,
720-07-02,x4xx,xxxx,,Trailer Light Status option in productivity screen present,observed through testing,,,,,,,,,,,,,,,,,,,
720-07-02,x3xx,xxxx,,Trailer Light Status option in productivity screen absent,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
