Address,Byte Values,,,Image Processing Module-B IPMB 7B1-XX-XX,,Notes
,,,,,,
7B1-01-01,*xxx,xxxx,xxxx,"Drive Side (DS), TBA Enable (TBA), Front Camera Enable (FCE), VSS Sleep (VSS)",,
,,,,"0=DS LeftHand, TBA Disabled, FCE Network, VSS Disabled","8=DS RightHand, TBA Disabled, FCE Network, VSS Disabled",
,,,,"1=DS LeftHand, TBA Disabled, FCE Network, VSS Enabled","9=DS RightHand, TBA Disabled, FCE Network, VSS Enabled",
,,,,"2=DS LeftHand, TBA Disabled, FCE Hardwire, VSS Disabled","A=DS RightHand, TBA Disabled, FCE Hardwire, VSS Disabled",
,,,,"3=DS LeftHand, TBA Disabled, FCE Hardwire, VSS Enabled","B=DS RightHand, TBA Disabled, FCE Hardwire, VSS Enabled",
,,,,"4=DS LeftHand, TBA Enabled, FCE Network, VSS Disabled","C=DS RightHand, TBA Enabled, FCE Network, VSS Disabled",
,,,,"5=DS LeftHand, TBA Enabled, FCE Network, VSS Enabled","D=DS RightHand, TBA Enabled, FCE Network, VSS Enabled",
,,,,"6=DS LeftHand, TBA Enabled, FCE Hardwire, VSS Disabled","E=DS RightHand, TBA Enabled, FCE Hardwire, VSS Disabled",
,,,,"7=DS LeftHand, TBA Enabled, FCE Hardwire, VSS Enabled","F=DS RightHand, TBA Enabled, FCE Hardwire, VSS Enabled",
7B1-01-01,x*xx,xxxx,xxxx,"Rear Camera Type (RCT), Front Camera Type (FCT), Number of Cameras (NOC)",,
,,,,"0=RCT VGA, FCT VGA, NOC 1 Camera","8=RCT MegaPixel, FCT VGA, NOC 1 Camera",
,,,,"1=RCT VGA, FCT VGA, NOC 2 Cameras","9=RCT MegaPixel, FCT VGA, NOC 2 Cameras",
,,,,"2=RCT VGA, FCT VGA, NOC 4 Cameras","A=RCT MegaPixel, FCT VGA, NOC 4 Cameras",
,,,,3=Reserved,B=Reserved,
,,,,"4=RCT VGA, FCT MegaPixel, NOC 1 Camera","C=RCT MegaPixel, FCT MegaPixel, NOC 1 Camera",
,,,,"5=RCT VGA, FCT MegaPixel, NOC 2 Cameras","D=RCT MegaPixel, FCT MegaPixel, NOC 2 Cameras",
,,,,"6=RCT VGA, FCT MegaPixel, NOC 4 Cameras","E=RCT MegaPixel, FCT MegaPixel, NOC 4 Cameras",
,,,,7=Reserved,F=Reserved,
7B1-01-01,xx*x,xxxx,xxxx,Park Assist Type,,
,,,,0=None,8=12 Channel,
,,,,2=4 Channel,A=12 Channel Flank,
,,,,4=8 Channel,,
,,,,6=10 Channel,,
7B1-01-01,xxx*,xxxx,xxxx,Park Assist Display,,
,,,,0=Disabled,,
,,,,1=RearVPA,,
,,,,2=FullVPA,,
,,,,3=OverheadVPA,,
7B1-01-01,xxxx,*xxx,xxxx,VPA Type,,
,,,,0=Camera,,
,,,,1=IPMB,,
7B1-01-01,xxxx,x*xx,xxxx,"SlaveExists FB (SFB), SlaveExists FVC (SFVC), SlaveExists RVC (SRVC)",,
,,,,"0=SFB Not Present, SFVC Not Present, SRVC Not Present","8=SFB Present, SFVC Not Present, SRVC Not Present",
,,,,"2=SFB Not Present, SFVC Not Present, SRVC Present","A=SFB Present, SFVC Not Present, SRVC Present",
,,,,"4=SFB Not Present, SFVC Present, SRVC Not Present","C=SFB Present, SFVC Present, SRVC Not Present",
,,,,"6=SFB Not Present, SFVC Present, SRVC Present","E=SFB Present, SFVC Present, SRVC Present",
7B1-01-01,xxxx,xx**,xxxx,LINSel RVC,,
7B1-01-01,xxxx,xxxx,**xx,LINSel FVC,,
,,,,,,
7B1-01-02,**xx,xxxx,,"Vehicle Type (VT), Front Overlay Available (FOA), Remote Camera (RC)
** F150 is type 17, Raptor is type 45 **",,
,,,,"40=VT F150, FOA Disabled, RC Not Present","B0=VT F150, FOA Disabled, RC Not Present",
,,,,"41=VT F150, FOA Disabled, RC Present","B1=VT F150, FOA Disabled, RC Present",
,,,,"42=VT F150, FOA Enabled, RC Not Present","B2=VT F150, FOA Enabled, RC Not Present",
,,,,"43=VT F150, FOA Enabled, RC Present","B3=VT F150, FOA Enabled, RC Present",
,,,,,,
7B1-02-01,*xxx,xxxx,xxxx,"Sync APA Fix (SAPA), Door Ajar Indicator (DAI), Rear VPA (RVPA)",,
,,,,"0=SAPA Off, DAI Off, RVPA Off","8=SAPA On, DAI Off, RVPA Off",
,,,,"1=SAPA Off, DAI Off, RVPA On","9=SAPA On, DAI Off, RVPA On",
,,,,"2=SAPA Off, DAI Off, RVPA LastKnown","A=SAPA On, DAI Off, RVPA LastKnown",
,,,,"3=SAPA Off, DAI Off, RVPA FactoryOff","B=SAPA On, DAI Off, RVPA FactoryOff",
,,,,"4=SAPA Off, DAI On, RVPA Off","C=SAPA On, DAI On, RVPA Off",
,,,,"5=SAPA Off, DAI On, RVPA On","D=SAPA On, DAI On, RVPA On",
,,,,"6=SAPA Off, DAI On, RVPA LastKnown","E=SAPA On, DAI On, RVPA LastKnown",
,,,,"7=SAPA Off, DAI On, RVPA FactoryOff","F=SAPA On, DAI On, RVPA FactoryOff",
7B1-02-01,x*xx,xxxx,xxxx,"Main Image Content (MIC), Zoom Level (ZL)",,
,,,,"0=MIC Off, ZL Off","8=MIC LastKnown, ZL Off",
,,,,"1=MIC Off, ZL On","9=MIC LastKnown, ZL On",
,,,,"2=MIC Off, ZL LastKnown","A=MIC LastKnown, ZL LastKnown",
,,,,"3=MIC Off, ZL FactoryOff","B=MIC LastKnown, ZL FactoryOff",
,,,,"4=MIC On, ZL Off","C=MIC FactoryOff, ZL Off",
,,,,"5=MIC On, ZL On","D=MIC FactoryOff, ZL On",
,,,,"6=MIC On, ZL LastKnown","E=MIC FactoryOff, ZL LastKnown",
,,,,"7=MIC On, ZL FactoryOff","F=MIC FactoryOff, ZL FactoryOff",
7B1-02-01,xxx*,xxxx,xxxx,"Raptor Mode (RM), FB Close Behavior (FBCB), Front Camera Indicator (FCI), Tailgage Ajar Indicator (TAI)",,
,,,,"0=RM Disabled, FBCB Null, FCI Disabled, TAI Off","8=RM Enabled, FBCB Null, FCI Disabled, TAI Off",
,,,,"1=RM Disabled, FBCB Null, FCI Disabled, TAI On","9=RM Enabled, FBCB Null, FCI Disabled, TAI On",
,,,,"2=RM Disabled, FBCB Null, FCI Enabled, TAI Off","A=RM Enabled, FBCB Null, FCI Enabled, TAI Off",
,,,,"3=RM Disabled, FBCB Null, FCI Enabled, TAI On","B=RM Enabled, FBCB Null, FCI Enabled, TAI On",
,,,,"4=RM Disabled, FBCB Neutral, FCI Disabled, TAI Off","C=RM Enabled, FBCB Neutral, FCI Disabled, TAI Off",
,,,,"5=RM Disabled, FBCB Neutral, FCI Disabled, TAI On","D=RM Enabled, FBCB Neutral, FCI Disabled, TAI On",
,,,,"6=RM Disabled, FBCB Neutral, FCI Enabled, TAI Off","E=RM Enabled, FBCB Neutral, FCI Enabled, TAI Off",
,,,,"7=RM Disabled, FBCB Neutral, FCI Enabled, TAI On","F=RM Enabled, FBCB Neutral, FCI Enabled, TAI On",
,,,,,,
7B1-02-02,,,,Reserved,,
,,,,,,
7B1-03-01,,,,DTC Suppression,,
7B1-03-02,,,,DTC Suppression,,
,,,,,,
7B1-05-01,*xxx,xxxx,xxxx,Reserved,,
7B1-05-01,x*xx,xxxx,xxxx,Rear VPA (RVPA),,
,,,,0=Disabled,,
,,,,1=Enabled,,
7B1-05-01,xx*x,xxxx,xxxx,Main Image Content (MIC),,
,,,,0=MIC Off,8=MIC Front Normal,
,,,,1=MIC Front,9=MIC Front Split,
,,,,2=MIC Rear,A=Reserved,
,,,,3=MIC Remote,B=Reserved,
,,,,4=MIC Rear 360,C=Reserved,
,,,,5=MIC Rear Normal,D=Reserved,
,,,,6=MIC Rear Split,E=Reserved,
,,,,7=MIC Front 360,F=Reserved,
7B1-05-01,xxx*,xxxx,xxxx,Zoom Level (ZL),,
,,,,0=ZL Off,8=ZL Level 2,
,,,,4=ZL Level 1,C=ZL Level 3,
,,,,,,
7B1-05-02,xxxx,xxxx,,Reserved,,
,,,,,,
7B1-06-xx,xxxx,xxxx,xxxx,Focal Center and Homography Calibrations,,
,,,,,,
7B1-07-xx,xxxx,xxxx,xxxx,Focal Center and Homography Calibrations,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
